epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
108,17758.3,0.50437,1.19316,0.87747,1.04948,0,0.57929,0.59877,0.59306,0.52155,0.58771,0.59623,0.59279,0.48696,0.55745,1.44583,1.37449,1.08999,0,0.000293969,0.000293969,0.000293969
109,17922.4,0.51019,1.20621,0.87568,1.05455,0,0.54886,0.62241,0.59396,0.52042,0.54865,0.6198,0.58922,0.48658,0.56561,1.42519,1.37996,1.09851,0,0.000290875,0.000290875,0.000290875
110,18086.7,0.50003,1.17472,0.84397,1.0416,0,0.57809,0.57839,0.59023,0.52006,0.57988,0.5809,0.58502,0.48733,0.56309,1.43855,1.40398,1.09421,0,0.000287781,0.000287781,0.000287781
111,18250.7,0.50112,1.20748,0.86224,1.04084,0,0.57382,0.59391,0.59541,0.52381,0.58075,0.583,0.58811,0.48853,0.5612,1.41069,1.38905,1.09311,0,0.000284688,0.000284688,0.000284688
112,18414.9,0.49757,1.20386,0.85161,1.04904,0,0.55471,0.62574,0.59887,0.52663,0.55297,0.62394,0.59185,0.49068,0.56673,1.43014,1.37367,1.09744,0,0.000281594,0.000281594,0.000281594
113,18579,0.50281,1.18786,0.85536,1.04517,0,0.61948,0.55008,0.59284,0.52252,0.62024,0.55007,0.58903,0.48572,0.56555,1.43077,1.37066,1.09306,0,0.0002785,0.0002785,0.0002785
114,18742.7,0.48616,1.16131,0.82627,1.0347,0,0.57596,0.59409,0.60583,0.53225,0.57839,0.59656,0.60116,0.49643,0.56599,1.38885,1.3378,1.0967,0,0.000275406,0.000275406,0.000275406
115,18907,0.50304,1.20256,0.85111,1.04799,0,0.56292,0.60169,0.59381,0.52093,0.5662,0.60443,0.59355,0.48685,0.56048,1.44999,1.35162,1.09525,0,0.000272313,0.000272313,0.000272313
116,19071.4,0.49,1.15868,0.82282,1.03763,0,0.65352,0.54736,0.60352,0.52836,0.62084,0.57627,0.6012,0.49452,0.56395,1.47451,1.33416,1.09896,0,0.000269219,0.000269219,0.000269219
117,19235.4,0.48756,1.1725,0.82594,1.03721,0,0.61599,0.56461,0.59567,0.52011,0.61921,0.56665,0.59244,0.48745,0.57032,1.45675,1.37842,1.10591,0,0.000266125,0.000266125,0.000266125
