epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
110,8954.67,0.53598,1.24612,0.83975,1.0364,0,0.57154,0.5711,0.56889,0.47937,0.56708,0.56954,0.5693,0.46163,0.67102,1.4929,1.48766,1.148,0,0.000287781,0.000287781,0.000287781
111,9035.77,0.54026,1.27166,0.84273,1.03681,0,0.59212,0.53969,0.5612,0.4709,0.59508,0.54148,0.56061,0.45667,0.67063,1.53899,1.51047,1.14657,0,0.000284688,0.000284688,0.000284688
112,9116.85,0.54595,1.27666,0.85122,1.04486,0,0.54965,0.57285,0.56337,0.47383,0.55222,0.57598,0.56212,0.45627,0.66477,1.48445,1.47817,1.14666,0,0.000281594,0.000281594,0.000281594
113,9197.94,0.53996,1.25004,0.84547,1.04086,0,0.58894,0.55359,0.57051,0.47961,0.58845,0.55301,0.56828,0.46394,0.65945,1.49821,1.45166,1.13681,0,0.0002785,0.0002785,0.0002785
114,9279.02,0.53421,1.22855,0.83322,1.03731,0,0.58878,0.56809,0.57382,0.48477,0.59292,0.57058,0.57534,0.46679,0.65131,1.43439,1.43212,1.12595,0,0.000275406,0.000275406,0.000275406
115,9360.16,0.53157,1.25348,0.83407,1.03392,0,0.6089,0.54292,0.57298,0.48609,0.62522,0.53991,0.57476,0.46832,0.66186,1.4943,1.45669,1.14215,0,0.000272313,0.000272313,0.000272313
116,9441.49,0.52838,1.22445,0.80699,1.02975,0,0.58732,0.55387,0.57154,0.48662,0.58972,0.55597,0.57153,0.46805,0.65726,1.48339,1.47021,1.13979,0,0.000269219,0.000269219,0.000269219
117,9522.76,0.52724,1.21589,0.80542,1.03037,0,0.58632,0.55445,0.57531,0.48835,0.58676,0.55454,0.57272,0.47066,0.6661,1.52244,1.48259,1.16215,0,0.000266125,0.000266125,0.000266125
118,9603.88,0.52369,1.2014,0.79137,1.03075,0,0.59704,0.54053,0.57102,0.48266,0.60317,0.53409,0.5685,0.46744,0.66077,1.50697,1.4832,1.14995,0,0.000263031,0.000263031,0.000263031
119,9684.94,0.52897,1.20015,0.79641,1.02769,0,0.60504,0.54043,0.57693,0.49091,0.6078,0.5431,0.57568,0.47324,0.65247,1.51967,1.4505,1.13932,0,0.000259938,0.000259938,0.000259938
120,9766.11,0.54571,1.26817,0.8387,1.04476,0,0.56741,0.5638,0.57236,0.4855,0.57138,0.56717,0.57321,0.47009,0.66791,1.54226,1.52963,1.15879,0,0.000256844,0.000256844,0.000256844
